Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shenyang,PM2.5,1/3/2017 7:00,2017,1,3,7,117,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 8:00,2017,1,3,8,107,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 9:00,2017,1,3,9,124,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 10:00,2017,1,3,10,96,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 11:00,2017,1,3,11,112,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 12:00,2017,1,3,12,129,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 13:00,2017,1,3,13,132,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 14:00,2017,1,3,14,126,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 15:00,2017,1,3,15,136,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 16:00,2017,1,3,16,147,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 17:00,2017,1,3,17,166,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 18:00,2017,1,3,18,180,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 19:00,2017,1,3,19,194,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 20:00,2017,1,3,20,207,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 21:00,2017,1,3,21,218,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 22:00,2017,1,3,22,226,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/3/2017 23:00,2017,1,3,23,253,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 0:00,2017,1,4,0,239,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 1:00,2017,1,4,1,243,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 2:00,2017,1,4,2,271,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 3:00,2017,1,4,3,235,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 4:00,2017,1,4,4,204,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 5:00,2017,1,4,5,174,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 6:00,2017,1,4,6,187,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 7:00,2017,1,4,7,185,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 8:00,2017,1,4,8,229,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 9:00,2017,1,4,9,198,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 10:00,2017,1,4,10,225,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 11:00,2017,1,4,11,274,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 12:00,2017,1,4,12,217,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 13:00,2017,1,4,13,165,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 14:00,2017,1,4,14,144,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 15:00,2017,1,4,15,49,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 16:00,2017,1,4,16,23,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 17:00,2017,1,4,17,35,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 18:00,2017,1,4,18,52,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 19:00,2017,1,4,19,52,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 20:00,2017,1,4,20,84,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 21:00,2017,1,4,21,52,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 22:00,2017,1,4,22,41,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/4/2017 23:00,2017,1,4,23,56,?g/m?,1 Hr,Valid
Shenyang,PM2.5,1/5/2017 0:00,2017,1,5,0,64,?g/m?,1 Hr,Valid
